observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
245590887,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-09-19,2024,9,19,263,monsoon,12.838186,77.6324763,"Arena, Bettadasanapura Bypass Rd, Electronic City, Bengaluru, Karnataka 560100, India",Leptocoma zeylonica,research
246462833,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2022-03-12,2022,3,12,71,pre_monsoon,14.8302390121,76.6172893962,"Kalaburagi Division, Karnataka, India",Leptocoma zeylonica,research
246462835,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2022-03-12,2022,3,12,71,pre_monsoon,14.8307990704,76.6178043799,"Kalaburagi Division, Karnataka, India",Leptocoma zeylonica,research
246552214,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-01-07,2024,1,7,7,winter,12.9898529237,75.6993483379,"Makkihalli, Karnataka 573165, India",Leptocoma zeylonica,research
248220526,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-20,2024,10,20,294,post_monsoon,13.0800718,77.5785151,"Vignana Kendra, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
248222529,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-12,2024,10,12,286,post_monsoon,13.0800718,77.5785151,"Vignana Kendra, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
248222550,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-12,2024,10,12,286,post_monsoon,13.0800718,77.5785151,"Vignana Kendra, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
248222554,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-12,2024,10,12,286,post_monsoon,13.0800718,77.5785151,"Vignana Kendra, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
249480912,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-28,2024,10,28,302,post_monsoon,12.9183126,77.680097,"Saul Kere, Kaikondrahalli, Bengaluru, Karnataka 560035",Leptocoma zeylonica,research
249773030,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-05,2024,10,5,279,post_monsoon,12.8470072,77.6466324,"Magnolia Enclave, 1-58, Magnolia Enclave Road, Doddathoguru, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",Leptocoma zeylonica,research
249777176,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-20,2024,10,20,294,post_monsoon,12.8476527,77.6090379,Raja Iris/Eagle Ridge,Leptocoma zeylonica,research
249866487,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-20,2024,10,20,294,post_monsoon,12.8476527,77.6090379,Raja Iris/Eagle Ridge,Leptocoma zeylonica,research
249866497,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-20,2024,10,20,294,post_monsoon,12.8476527,77.6090379,Raja Iris/Eagle Ridge,Leptocoma zeylonica,research
249866499,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-20,2024,10,20,294,post_monsoon,12.8476527,77.6090379,Raja Iris/Eagle Ridge,Leptocoma zeylonica,research
249904108,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-23,2024,10,23,297,post_monsoon,12.7688531,77.5791358,"Ragihalli State Forest, Karnataka, India",Leptocoma zeylonica,research
250784793,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-07-07,2024,7,7,189,monsoon,13.0444581312,77.4992728606,"5, vikas Nagar, 4th cross, 1st main, Nagasandra post, Bengaluru, Block-2, Block-2, Nagasandra, Bengaluru, Karnataka 560073, India",Leptocoma zeylonica,research
251622549,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-14,2024,11,14,319,post_monsoon,12.857772368,77.6810226125,"Doddanagamangala, Bengaluru, Karnataka, IN",Leptocoma zeylonica,research
251749067,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-15,2024,11,15,320,post_monsoon,12.8440691465,77.7213634899,"Chintalamadivala Village, Bommasandra, Bengaluru, Karnataka 560099, India",Leptocoma zeylonica,research
252252064,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-02-17,2024,2,17,48,winter,13.0309916667,77.6639722222,"Bangalore, IN-KA, IN",Leptocoma zeylonica,research
252252647,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-03-07,2024,3,7,67,pre_monsoon,13.0310027778,77.6639944444,"Bangalore, IN-KA, IN",Leptocoma zeylonica,research
252253032,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-04-05,2024,4,5,96,pre_monsoon,13.0309972222,77.663975,"Bangalore, IN-KA, IN",Leptocoma zeylonica,research
