id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
170610974,2023-07-02,deemopahan,research,https://www.inaturalist.org/observations/170610974,https://inaturalist-open-data.s3.amazonaws.com/photos/295938888/medium.jpeg,"WM9M+X4, Kaikondrahalli, Bengaluru, Karnataka 560103, India",12.919519,77.6827249,Bangalore,Karnataka,Leptocoma zeylonica flaviventris,Leptocoma zeylonica flaviventris,,Aves,725322,Nectariniidae,Leptocoma
170820404,2023-07-03,srijan_pandhari_,research,https://www.inaturalist.org/observations/170820404,https://inaturalist-open-data.s3.amazonaws.com/photos/296337218/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
171379868,2022-10-28,avinashbhagat2,research,https://www.inaturalist.org/observations/171379868,https://inaturalist-open-data.s3.amazonaws.com/photos/297382536/medium.jpg,"Hampi, Karnataka 583239, India",15.3350132,76.460024,Bellary,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
171880528,2023-05-27,kunikimu,research,https://www.inaturalist.org/observations/171880528,https://inaturalist-open-data.s3.amazonaws.com/photos/298294538/medium.jpg,"Inside Bannerughatta Biological Park, QHWG+CHF, Bannerughatta, Bengaluru, Karnataka 560083, India",12.7960545,77.5764202,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
172157652,2023-07-03,srijan_pandhari_,research,https://www.inaturalist.org/observations/172157652,https://inaturalist-open-data.s3.amazonaws.com/photos/298822893/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
172288335,2023-07-08,vivek10,research,https://www.inaturalist.org/observations/172288335,https://static.inaturalist.org/photos/299071972/medium.jpeg,"Karadigodu, Karnataka 571253, India",12.2461804516,75.8536571637,Kodagu,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
173188554,2023-07-16,deemopahan,research,https://www.inaturalist.org/observations/173188554,https://inaturalist-open-data.s3.amazonaws.com/photos/300735099/medium.jpeg,"Sondekoppa Kere, Bengaluru, Karnataka 562162",13.0181763,77.3866312,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
173391696,2023-07-15,kunikimu,research,https://www.inaturalist.org/observations/173391696,https://inaturalist-open-data.s3.amazonaws.com/photos/301105830/medium.jpg,"Thubarahalli Lake, Brookefield, Bengaluru, Karnataka 560066",12.958266,77.7255357,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
174460930,2023-07-20,sunandav,research,https://www.inaturalist.org/observations/174460930,https://inaturalist-open-data.s3.amazonaws.com/photos/303091683/medium.jpeg,"IISC Bangalore, Gulmohar Marg, Mathikere, Bengaluru, Karnataka 560012, India",13.0169513,77.5670914,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
174461634,2023-07-20,sunandav,research,https://www.inaturalist.org/observations/174461634,https://inaturalist-open-data.s3.amazonaws.com/photos/303093083/medium.jpeg,"IISC Bangalore, Gulmohar Marg, Mathikere, Bengaluru, Karnataka 560012, India",13.0169513,77.5670914,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
174462357,2023-07-20,sunandav,research,https://www.inaturalist.org/observations/174462357,https://inaturalist-open-data.s3.amazonaws.com/photos/303094580/medium.jpeg,"IISC Bangalore, Gulmohar Marg, Mathikere, Bengaluru, Karnataka 560012, India",13.0169513,77.5670914,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
174636493,2023-07-23,abhiapc,research,https://www.inaturalist.org/observations/174636493,https://static.inaturalist.org/photos/303412001/medium.jpeg,"6JFG+3WM, Dadadahalli, Karnataka 570008, India",12.2227233,76.6272876,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
174664500,2023-07-24,shivaprakash,research,https://www.inaturalist.org/observations/174664500,https://inaturalist-open-data.s3.amazonaws.com/photos/303463656/medium.jpeg,"Lalith Mahal Quatras, Mysuru, Karnataka, India",12.3001502,76.6890908,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
175065675,2023-07-12,mullanpur-birds-butterflies,research,https://www.inaturalist.org/observations/175065675,https://inaturalist-open-data.s3.amazonaws.com/photos/304209112/medium.jpeg,"Jockey Quarters, Mysuru, Karnataka, India",12.2995659833,76.6726274803,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
175911670,2023-07-31,srushtibokil,research,https://www.inaturalist.org/observations/175911670,https://inaturalist-open-data.s3.amazonaws.com/photos/305769413/medium.jpeg,"Bangalore, IN-KA, IN",12.95781944,77.70678059,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
176095922,2023-07-30,nithya7,research,https://www.inaturalist.org/observations/176095922,https://static.inaturalist.org/photos/306109692/medium.jpeg,"Basapura (Kittur), Karnataka, India",11.9584809,76.3087282,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
177107170,2023-08-01,tanmayeg,research,https://www.inaturalist.org/observations/177107170,https://static.inaturalist.org/photos/307985139/medium.jpeg,"9XPF+953, Markalu, Karnataka 571424, India",12.3858802,76.97291,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
177163425,2023-08-07,tanmayeg,research,https://www.inaturalist.org/observations/177163425,https://static.inaturalist.org/photos/308090818/medium.jpeg,"Chamundi Vihar Layout, Mysuru, Karnataka, India",12.3101210296,76.6714451826,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
177163426,2023-08-07,tanmayeg,research,https://www.inaturalist.org/observations/177163426,https://static.inaturalist.org/photos/308090838/medium.jpeg,"Chamundi Vihar Layout, Mysuru, Karnataka, India",12.3101210296,76.6714451826,Mysore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
179798694,2023-08-23,chandanasatya,research,https://www.inaturalist.org/observations/179798694,https://inaturalist-open-data.s3.amazonaws.com/photos/313088905/medium.jpeg,"Karnataka, IN",13.0359466129,77.5024814275,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
179935973,2023-08-15,varmax,research,https://www.inaturalist.org/observations/179935973,https://inaturalist-open-data.s3.amazonaws.com/photos/313347804/medium.jpeg,PV,12.9147393208,77.6636999843,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
179935977,2023-08-16,varmax,research,https://www.inaturalist.org/observations/179935977,https://inaturalist-open-data.s3.amazonaws.com/photos/313347838/medium.jpeg,PV,12.9147393208,77.6636999843,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
180085951,2023-07-06,aadhithan,research,https://www.inaturalist.org/observations/180085951,https://inaturalist-open-data.s3.amazonaws.com/photos/313634493/medium.jpg,"WCCR+6JW, Hunasemaradapalya, Bheemanakuppe Ramasagara, Karnataka 560060, India",12.9206072,77.4415806,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
180877813,2023-08-06,umavaijnath,research,https://www.inaturalist.org/observations/180877813,https://inaturalist-open-data.s3.amazonaws.com/photos/315153158/medium.jpeg,Sobha Forest View,12.8789072887,77.5298513845,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182319275,2023-05-07,karthik_83,research,https://www.inaturalist.org/observations/182319275,https://inaturalist-open-data.s3.amazonaws.com/photos/317842258/medium.jpg,"Yevakapadi, Karnataka, India",12.225876,75.654407,Kodagu,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182319279,2023-05-07,karthik_83,research,https://www.inaturalist.org/observations/182319279,https://inaturalist-open-data.s3.amazonaws.com/photos/317842268/medium.jpg,"Yevakapadi, Karnataka, India",12.225876,75.654407,Kodagu,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182392537,2022-05-29,maitrey_c,research,https://www.inaturalist.org/observations/182392537,https://inaturalist-open-data.s3.amazonaws.com/photos/318002454/medium.jpeg,Ranganathittu Bird Sanctuary,12.4243602989,76.6563491151,Mandya,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182461788,2023-09-06,srijan_pandhari_,research,https://www.inaturalist.org/observations/182461788,https://inaturalist-open-data.s3.amazonaws.com/photos/318140463/medium.jpeg,"Banashankari, Bengaluru, Karnataka, India",12.9254533,77.546757,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182756184,2023-09-01,kunikimu,research,https://www.inaturalist.org/observations/182756184,https://inaturalist-open-data.s3.amazonaws.com/photos/318700871/medium.jpg,"Thubarahalli Lake, Brookefield, Bengaluru, Karnataka 560066",12.958266,77.7255357,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
182929216,2023-09-02,kunikimu,research,https://www.inaturalist.org/observations/182929216,https://inaturalist-open-data.s3.amazonaws.com/photos/319043267/medium.jpg,"Hoskote Lake, Karnataka",13.0702915,77.7695255,Bangalore Rural,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
183048303,2023-09-13,premgarg,research,https://www.inaturalist.org/observations/183048303,https://static.inaturalist.org/photos/319281339/medium.jpeg,"QJCG+JVH, Vaderamanchana Halli, Bukkasagara, Karnataka 560105, India",12.7723359722,77.626585,Bangalore,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
183051641,2023-09-07,venkatmangudi,research,https://www.inaturalist.org/observations/183051641,https://inaturalist-open-data.s3.amazonaws.com/photos/319288218/medium.jpg,"Savanadurga State Forest, Karnataka, India",12.9129677,77.2922332,Ramanagara,Karnataka,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,145146,Nectariniidae,Leptocoma
