id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
105020320,2022-01-15,covemom,research,https://www.inaturalist.org/observations/105020320,https://inaturalist-open-data.s3.amazonaws.com/photos/176110082/medium.jpeg,"Nambiar Bellezea, Bommasandra, Karnataka 560099, India",12.84275,77.724463,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105090555,2021-02-21,karthik_83,research,https://www.inaturalist.org/observations/105090555,https://inaturalist-open-data.s3.amazonaws.com/photos/176244270/medium.jpg,"Sanjayanagara, Bengaluru, Karnataka 560094, India",13.034732,77.57302,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105090564,2021-02-16,karthik_83,research,https://www.inaturalist.org/observations/105090564,https://inaturalist-open-data.s3.amazonaws.com/photos/176244334/medium.jpg,"Sanjayanagara, Bengaluru, Karnataka 560094, India",13.034732,77.57302,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105090569,2021-02-13,karthik_83,research,https://www.inaturalist.org/observations/105090569,https://inaturalist-open-data.s3.amazonaws.com/photos/176244369/medium.jpg,"Sanjayanagara, Bengaluru, Karnataka 560094, India",13.034732,77.57302,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105090577,2021-02-06,karthik_83,research,https://www.inaturalist.org/observations/105090577,https://inaturalist-open-data.s3.amazonaws.com/photos/176244397/medium.jpg,"Sanjayanagara, Bengaluru, Karnataka 560094, India",13.034732,77.57302,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105407425,2021-08-27,covemom,research,https://www.inaturalist.org/observations/105407425,https://inaturalist-open-data.s3.amazonaws.com/photos/176852388/medium.jpeg,"Nambiar Bellezea, Bommasandra, Karnataka 560099, India",12.84275,77.724463,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105417780,2021-05-07,karthik_83,research,https://www.inaturalist.org/observations/105417780,https://inaturalist-open-data.s3.amazonaws.com/photos/176871274/medium.jpg,"Bengaluru, Karnataka, India",13.0354321344,77.5775087149,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105649507,2022-01-26,shivaprakash,research,https://www.inaturalist.org/observations/105649507,https://inaturalist-open-data.s3.amazonaws.com/photos/177310841/medium.jpeg,"Arasinakere Grama, Karnataka 570008, India",12.170211,76.543737,Mysore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
105768632,2021-10-08,bellbird20,research,https://www.inaturalist.org/observations/105768632,https://static.inaturalist.org/photos/177540898/medium.jpg,"Alakabelalu, Bengaluru, KA, IN",12.809525937,77.5268483314,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
106078237,2022-02-03,bellbird20,research,https://www.inaturalist.org/observations/106078237,https://static.inaturalist.org/photos/178130276/medium.jpg,"Alakabelalu, Bengaluru, KA, IN",12.81290805,77.5279257319,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
